[Wed Aug  6 03:17:19 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:19 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:19 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:19 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:20 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:21 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:21 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:21 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:21 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | SENT: 00A40400
[Wed Aug  6 03:17:22 2025] Simulating terminal 'nfc' | RECV: 9000
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | SENT: 80CA9F7F
[Wed Aug  6 03:17:23 2025] Simulating terminal 'nfc' | RECV: 9000
